REF_AREA,COMP_BREAKDOWN_1,year,value_usd,OBS_STATUS
BEN,IMF_CNT_COUNTRY_924,2022,674.341,A
BFA,IMF_CNT_COUNTRY_924,2012,0.0,A
BFA,IMF_CNT_COUNTRY_924,2014,0.451616,A
BFA,IMF_CNT_COUNTRY_924,2018,0.0,A
BFA,IMF_CNT_COUNTRY_924,2019,0.0,A
BFA,IMF_CNT_COUNTRY_924,2020,0.0,A
BFA,IMF_CNT_COUNTRY_924,2021,0.0,A
BFA,IMF_CNT_COUNTRY_924,2022,0.0,A
BFA,IMF_CNT_COUNTRY_924,2023,0.0,A
BGD,IMF_CNT_COUNTRY_924,2009,20.68,A
BGD,IMF_CNT_COUNTRY_924,2010,64.62,A
BGD,IMF_CNT_COUNTRY_924,2011,74.08,A
BGD,IMF_CNT_COUNTRY_924,2012,141.61,A
BGD,IMF_CNT_COUNTRY_924,2013,147.97,A
BGD,IMF_CNT_COUNTRY_924,2014,168.69,A
BGD,IMF_CNT_COUNTRY_924,2015,192.34,A
BGD,IMF_CNT_COUNTRY_924,2016,241.24,A
BGD,IMF_CNT_COUNTRY_924,2017,304.8,A
BGD,IMF_CNT_COUNTRY_924,2018,1437.75,A
BGD,IMF_CNT_COUNTRY_924,2019,829.7,A
BGD,IMF_CNT_COUNTRY_924,2020,986.45,A
BGD,IMF_CNT_COUNTRY_924,2021,1412.92,A
BGD,IMF_CNT_COUNTRY_924,2022,1337.7,A
BGD,IMF_CNT_COUNTRY_924,2023,1373.99,A
BGR,IMF_CNT_COUNTRY_924,2009,13.8151,A
BGR,IMF_CNT_COUNTRY_924,2010,19.1093,A
BGR,IMF_CNT_COUNTRY_924,2011,81.8309,A
BGR,IMF_CNT_COUNTRY_924,2012,89.251,A
BGR,IMF_CNT_COUNTRY_924,2013,132.079,A
BGR,IMF_CNT_COUNTRY_924,2014,118.677,A
BGR,IMF_CNT_COUNTRY_924,2015,138.841,A
BGR,IMF_CNT_COUNTRY_924,2016,112.805,A
BGR,IMF_CNT_COUNTRY_924,2017,129.237,A
BGR,IMF_CNT_COUNTRY_924,2018,127.661,A
BGR,IMF_CNT_COUNTRY_924,2019,148.087,A
BGR,IMF_CNT_COUNTRY_924,2020,154.778,A
BGR,IMF_CNT_COUNTRY_924,2021,138.294,A
BGR,IMF_CNT_COUNTRY_924,2022,155.794,A
BGR,IMF_CNT_COUNTRY_924,2023,172.13,A
BHR,IMF_CNT_COUNTRY_924,2014,0.06,A
BHR,IMF_CNT_COUNTRY_924,2015,0.24,A
BHR,IMF_CNT_COUNTRY_924,2016,8.08,A
BHR,IMF_CNT_COUNTRY_924,2017,8.2409,A
BHR,IMF_CNT_COUNTRY_924,2018,9.86,A
BHR,IMF_CNT_COUNTRY_924,2019,14.89,A
BHR,IMF_CNT_COUNTRY_924,2020,22.6503,A
BHR,IMF_CNT_COUNTRY_924,2021,17.4967,A
BHR,IMF_CNT_COUNTRY_924,2022,6.24025,A
BHR,IMF_CNT_COUNTRY_924,2023,14.88,A
BIH,IMF_CNT_COUNTRY_924,2014,1.35127,A
BIH,IMF_CNT_COUNTRY_924,2015,1.2497,A
BIH,IMF_CNT_COUNTRY_924,2016,1.26204,A
BIH,IMF_CNT_COUNTRY_924,2017,3.82572,A
BIH,IMF_CNT_COUNTRY_924,2018,4.98968,A
BIH,IMF_CNT_COUNTRY_924,2019,5.50005,A
BIH,IMF_CNT_COUNTRY_924,2020,12.9733,A
BIH,IMF_CNT_COUNTRY_924,2021,18.4173,A
BIH,IMF_CNT_COUNTRY_924,2022,54.1152,A
BIH,IMF_CNT_COUNTRY_924,2023,64.64,A
BLR,IMF_CNT_COUNTRY_924,2009,2.7933,A
BLR,IMF_CNT_COUNTRY_924,2010,18.9263,A
BLR,IMF_CNT_COUNTRY_924,2011,27.8425,A
BLR,IMF_CNT_COUNTRY_924,2012,93.0489,A
BLR,IMF_CNT_COUNTRY_924,2013,118.479,A
BLR,IMF_CNT_COUNTRY_924,2014,168.658,A
BLR,IMF_CNT_COUNTRY_924,2015,195.548,A
BLR,IMF_CNT_COUNTRY_924,2016,231.798,A
BLR,IMF_CNT_COUNTRY_924,2017,268.287,A
BLR,IMF_CNT_COUNTRY_924,2018,367.756,A
BLR,IMF_CNT_COUNTRY_924,2019,449.936,A
BLR,IMF_CNT_COUNTRY_924,2020,426.71,A
BLR,IMF_CNT_COUNTRY_924,2021,437.775,A
BLR,IMF_CNT_COUNTRY_924,2022,424.644,A
BLR,IMF_CNT_COUNTRY_924,2023,452.118,A
BOL,IMF_CNT_COUNTRY_924,2009,2.5,A
BOL,IMF_CNT_COUNTRY_924,2010,3.1,A
BOL,IMF_CNT_COUNTRY_924,2011,2.7,A
BOL,IMF_CNT_COUNTRY_924,2012,2.599,A
BOL,IMF_CNT_COUNTRY_924,2013,2.9676,A
BOL,IMF_CNT_COUNTRY_924,2014,59.1587,A
BOL,IMF_CNT_COUNTRY_924,2015,63.3362,A
BOL,IMF_CNT_COUNTRY_924,2016,61.0898,A
BOL,IMF_CNT_COUNTRY_924,2017,81.8944,A
BOL,IMF_CNT_COUNTRY_924,2018,117.467,A
BOL,IMF_CNT_COUNTRY_924,2019,119.304,A
BOL,IMF_CNT_COUNTRY_924,2020,125.206,A
BOL,IMF_CNT_COUNTRY_924,2021,113.933,A
BOL,IMF_CNT_COUNTRY_924,2022,99.0935,A
BOL,IMF_CNT_COUNTRY_924,2023,64.8248,A
BRA,IMF_CNT_COUNTRY_924,2010,677.892,A
BRA,IMF_CNT_COUNTRY_924,2011,864.524,A
BRA,IMF_CNT_COUNTRY_924,2012,1113.43,A
BRA,IMF_CNT_COUNTRY_924,2013,1193.0,A
BRA,IMF_CNT_COUNTRY_924,2014,2415.28,A
BRA,IMF_CNT_COUNTRY_924,2015,1815.99,A
BRA,IMF_CNT_COUNTRY_924,2016,1792.34,A
BRA,IMF_CNT_COUNTRY_924,2017,1994.0,A
BRA,IMF_CNT_COUNTRY_924,2018,1787.22,A
BRA,IMF_CNT_COUNTRY_924,2019,2143.92,A
BRA,IMF_CNT_COUNTRY_924,2020,1634.39,A
BRA,IMF_CNT_COUNTRY_924,2021,1233.23,A
BRA,IMF_CNT_COUNTRY_924,2022,1193.06,A
BRA,IMF_CNT_COUNTRY_924,2023,1483.75,A
BRB,IMF_CNT_COUNTRY_924,2009,2.83143,A
BRB,IMF_CNT_COUNTRY_924,2010,0.0,A
BRB,IMF_CNT_COUNTRY_924,2011,0.95,A
BRB,IMF_CNT_COUNTRY_924,2012,0.0,A
BRB,IMF_CNT_COUNTRY_924,2013,1.3,A
BWA,IMF_CNT_COUNTRY_924,2009,62.6405,A
BWA,IMF_CNT_COUNTRY_924,2010,20.2602,A
BWA,IMF_CNT_COUNTRY_924,2011,703.521,A
BWA,IMF_CNT_COUNTRY_924,2013,717.826,A
BWA,IMF_CNT_COUNTRY_924,2014,0.809283,A
BWA,IMF_CNT_COUNTRY_924,2016,20.6412,A
BWA,IMF_CNT_COUNTRY_924,2017,3.88107,A
BWA,IMF_CNT_COUNTRY_924,2018,7.73287,A
BWA,IMF_CNT_COUNTRY_924,2019,7.81441,A
BWA,IMF_CNT_COUNTRY_924,2020,0.0,A
BWA,IMF_CNT_COUNTRY_924,2021,5.73117,A
BWA,IMF_CNT_COUNTRY_924,2022,6.24496,A
BWA,IMF_CNT_COUNTRY_924,2023,5.01472,A
CAN,IMF_CNT_COUNTRY_924,2009,11627.0,A
CAN,IMF_CNT_COUNTRY_924,2010,12177.8,A
CAN,IMF_CNT_COUNTRY_924,2011,15102.3,A
CAN,IMF_CNT_COUNTRY_924,2012,11678.8,A
CAN,IMF_CNT_COUNTRY_924,2013,12920.4,A
CAN,IMF_CNT_COUNTRY_924,2014,13462.1,A
CAN,IMF_CNT_COUNTRY_924,2015,9944.55,A
CAN,IMF_CNT_COUNTRY_924,2016,11335.4,A
CAN,IMF_CNT_COUNTRY_924,2017,12695.9,A
CAN,IMF_CNT_COUNTRY_924,2018,15753.2,A
CAN,IMF_CNT_COUNTRY_924,2019,19331.5,A
CAN,IMF_CNT_COUNTRY_924,2020,16241.4,A
CAN,IMF_CNT_COUNTRY_924,2021,19992.2,A
CAN,IMF_CNT_COUNTRY_924,2022,18731.2,A
CAN,IMF_CNT_COUNTRY_924,2023,18759.2,A
CHL,IMF_CNT_COUNTRY_924,2012,81.1487,A
CHL,IMF_CNT_COUNTRY_924,2013,2.99786,A
CHL,IMF_CNT_COUNTRY_924,2014,25.0282,A
CHL,IMF_CNT_COUNTRY_924,2015,167.714,A
CHL,IMF_CNT_COUNTRY_924,2016,348.47,A
CHL,IMF_CNT_COUNTRY_924,2017,379.03,A
CHL,IMF_CNT_COUNTRY_924,2018,403.888,A
CHL,IMF_CNT_COUNTRY_924,2019,516.562,A
CHL,IMF_CNT_COUNTRY_924,2020,769.915,A
CHL,IMF_CNT_COUNTRY_924,2021,631.775,A
CHL,IMF_CNT_COUNTRY_924,2022,726.591,A
CHL,IMF_CNT_COUNTRY_924,2023,763.767,A
CIV,IMF_CNT_COUNTRY_924,2016,8.26387,A
CIV,IMF_CNT_COUNTRY_924,2017,44.0328,A
CIV,IMF_CNT_COUNTRY_924,2018,65.118,A
CIV,IMF_CNT_COUNTRY_924,2019,96.0982,A
CIV,IMF_CNT_COUNTRY_924,2020,111.214,A
CIV,IMF_CNT_COUNTRY_924,2021,141.508,A
CIV,IMF_CNT_COUNTRY_924,2022,180.013,A
CRI,IMF_CNT_COUNTRY_924,2009,35.6978,A
CRI,IMF_CNT_COUNTRY_924,2010,37.9854,A
CRI,IMF_CNT_COUNTRY_924,2011,40.5557,A
CRI,IMF_CNT_COUNTRY_924,2012,46.2208,A
CRI,IMF_CNT_COUNTRY_924,2013,52.994,A
CRI,IMF_CNT_COUNTRY_924,2014,64.1083,A
CRI,IMF_CNT_COUNTRY_924,2015,78.1359,A
CRI,IMF_CNT_COUNTRY_924,2016,82.0603,A
CRI,IMF_CNT_COUNTRY_924,2017,84.2598,A
CRI,IMF_CNT_COUNTRY_924,2018,88.0383,A
CRI,IMF_CNT_COUNTRY_924,2019,92.6222,A
CRI,IMF_CNT_COUNTRY_924,2020,95.8545,A
CRI,IMF_CNT_COUNTRY_924,2021,96.913,A
CRI,IMF_CNT_COUNTRY_924,2022,99.3438,A
CRI,IMF_CNT_COUNTRY_924,2023,102.469,A
CYP,IMF_CNT_COUNTRY_924,2012,133.804,A
CYP,IMF_CNT_COUNTRY_924,2013,399.406,A
CYP,IMF_CNT_COUNTRY_924,2014,514.252,A
CYP,IMF_CNT_COUNTRY_924,2015,545.421,A
CYP,IMF_CNT_COUNTRY_924,2016,686.17,A
CYP,IMF_CNT_COUNTRY_924,2017,1064.43,A
CYP,IMF_CNT_COUNTRY_924,2018,1598.19,A
CYP,IMF_CNT_COUNTRY_924,2019,1984.89,A
CYP,IMF_CNT_COUNTRY_924,2020,2650.39,A
CYP,IMF_CNT_COUNTRY_924,2021,2660.44,A
CYP,IMF_CNT_COUNTRY_924,2022,2615.62,A
CZE,IMF_CNT_COUNTRY_924,2009,53.8382,A
CZE,IMF_CNT_COUNTRY_924,2010,59.3675,A
CZE,IMF_CNT_COUNTRY_924,2011,-42.2317,A
CZE,IMF_CNT_COUNTRY_924,2012,-9.33088,A
CZE,IMF_CNT_COUNTRY_924,2013,-8.56957,A
CZE,IMF_CNT_COUNTRY_924,2014,-13.3258,A
CZE,IMF_CNT_COUNTRY_924,2015,268.342,A
CZE,IMF_CNT_COUNTRY_924,2016,664.962,A
CZE,IMF_CNT_COUNTRY_924,2017,707.268,A
CZE,IMF_CNT_COUNTRY_924,2018,687.268,A
CZE,IMF_CNT_COUNTRY_924,2019,705.45,A
CZE,IMF_CNT_COUNTRY_924,2020,204.415,A
CZE,IMF_CNT_COUNTRY_924,2021,543.611,A
CZE,IMF_CNT_COUNTRY_924,2022,595.601,A
CZE,IMF_CNT_COUNTRY_924,2023,601.989,A
DEU,IMF_CNT_COUNTRY_924,2009,939.271,A
DEU,IMF_CNT_COUNTRY_924,2010,1148.6,A
DEU,IMF_CNT_COUNTRY_924,2011,1601.85,A
DEU,IMF_CNT_COUNTRY_924,2012,2239.15,A
DEU,IMF_CNT_COUNTRY_924,2013,2462.38,A
DEU,IMF_CNT_COUNTRY_924,2014,2655.84,A
DEU,IMF_CNT_COUNTRY_924,2015,3042.92,A
DEU,IMF_CNT_COUNTRY_924,2016,3930.84,A
DEU,IMF_CNT_COUNTRY_924,2017,4846.73,A
DEU,IMF_CNT_COUNTRY_924,2018,3862.77,A
DEU,IMF_CNT_COUNTRY_924,2019,5433.21,A
DEU,IMF_CNT_COUNTRY_924,2020,6136.73,A
DEU,IMF_CNT_COUNTRY_924,2021,6853.36,A
DEU,IMF_CNT_COUNTRY_924,2022,6613.99,A
DEU,IMF_CNT_COUNTRY_924,2023,7055.43,A
DNK,IMF_CNT_COUNTRY_924,2009,154.14,A
DNK,IMF_CNT_COUNTRY_924,2010,302.852,A
DNK,IMF_CNT_COUNTRY_924,2011,278.474,A
DNK,IMF_CNT_COUNTRY_924,2012,212.048,A
DNK,IMF_CNT_COUNTRY_924,2013,106.232,A
DNK,IMF_CNT_COUNTRY_924,2014,174.633,A
DNK,IMF_CNT_COUNTRY_924,2015,248.755,A
DNK,IMF_CNT_COUNTRY_924,2016,310.515,A
DNK,IMF_CNT_COUNTRY_924,2017,259.194,A
DNK,IMF_CNT_COUNTRY_924,2018,136.669,A
DNK,IMF_CNT_COUNTRY_924,2019,160.278,A
DNK,IMF_CNT_COUNTRY_924,2020,191.66,A
DNK,IMF_CNT_COUNTRY_924,2021,110.041,A
DNK,IMF_CNT_COUNTRY_924,2022,80.0321,A
DNK,IMF_CNT_COUNTRY_924,2023,89.4035,A
DZA,IMF_CNT_COUNTRY_924,2018,585.724,A
DZA,IMF_CNT_COUNTRY_924,2019,598.806,A
DZA,IMF_CNT_COUNTRY_924,2020,598.773,A
DZA,IMF_CNT_COUNTRY_924,2021,595.016,A
DZA,IMF_CNT_COUNTRY_924,2022,597.26,A
DZA,IMF_CNT_COUNTRY_924,2023,608.945,A
ESP,IMF_CNT_COUNTRY_924,2013,784.708,A
ESP,IMF_CNT_COUNTRY_924,2014,484.426,A
ESP,IMF_CNT_COUNTRY_924,2015,506.246,A
ESP,IMF_CNT_COUNTRY_924,2016,1387.2,A
ESP,IMF_CNT_COUNTRY_924,2017,2096.38,A
ESP,IMF_CNT_COUNTRY_924,2018,3567.82,A
ESP,IMF_CNT_COUNTRY_924,2019,1562.65,A
ESP,IMF_CNT_COUNTRY_924,2020,2418.61,A
ESP,IMF_CNT_COUNTRY_924,2021,909.478,A
ESP,IMF_CNT_COUNTRY_924,2022,2853.16,A
ESP,IMF_CNT_COUNTRY_924,2023,3353.68,A
EST,IMF_CNT_COUNTRY_924,2009,12.6773,A
EST,IMF_CNT_COUNTRY_924,2010,40.7541,A
EST,IMF_CNT_COUNTRY_924,2011,-15.0092,A
EST,IMF_CNT_COUNTRY_924,2012,22.4298,A
EST,IMF_CNT_COUNTRY_924,2013,10.1143,A
EST,IMF_CNT_COUNTRY_924,2014,19.8554,A
EST,IMF_CNT_COUNTRY_924,2015,11.5751,A
EST,IMF_CNT_COUNTRY_924,2016,10.9226,A
EST,IMF_CNT_COUNTRY_924,2017,17.2028,A
EST,IMF_CNT_COUNTRY_924,2018,42.8574,A
EST,IMF_CNT_COUNTRY_924,2019,35.5118,A
EST,IMF_CNT_COUNTRY_924,2020,52.18,A
EST,IMF_CNT_COUNTRY_924,2021,152.785,A
EST,IMF_CNT_COUNTRY_924,2022,57.2604,A
EST,IMF_CNT_COUNTRY_924,2023,61.2844,A
FIN,IMF_CNT_COUNTRY_924,2009,-92.3531,A
FIN,IMF_CNT_COUNTRY_924,2010,-47.3786,A
FIN,IMF_CNT_COUNTRY_924,2011,-197.524,A
FIN,IMF_CNT_COUNTRY_924,2012,-15.437,A
FIN,IMF_CNT_COUNTRY_924,2013,16.5492,A
FIN,IMF_CNT_COUNTRY_924,2014,-43.7076,A
FIN,IMF_CNT_COUNTRY_924,2015,-47.9028,A
FIN,IMF_CNT_COUNTRY_924,2016,-49.5427,A
FIN,IMF_CNT_COUNTRY_924,2017,-87.5489,A
FIN,IMF_CNT_COUNTRY_924,2018,-73.28,A
FIN,IMF_CNT_COUNTRY_924,2019,4141.98,A
FIN,IMF_CNT_COUNTRY_924,2020,161.977,A
FIN,IMF_CNT_COUNTRY_924,2021,289.946,A
FIN,IMF_CNT_COUNTRY_924,2022,190.921,A
FIN,IMF_CNT_COUNTRY_924,2023,312.715,A
FJI,IMF_CNT_COUNTRY_924,2014,83.0608,A
FJI,IMF_CNT_COUNTRY_924,2015,94.4904,A
FJI,IMF_CNT_COUNTRY_924,2016,108.033,A
FJI,IMF_CNT_COUNTRY_924,2017,102.159,A
FJI,IMF_CNT_COUNTRY_924,2018,111.448,A
FJI,IMF_CNT_COUNTRY_924,2019,111.961,A
FJI,IMF_CNT_COUNTRY_924,2020,140.84,A
FJI,IMF_CNT_COUNTRY_924,2021,80.7952,A
FRA,IMF_CNT_COUNTRY_924,2009,488.363,A
FRA,IMF_CNT_COUNTRY_924,2010,474.351,A
